Date/Time (EST),Number of Records Compiled,monthly AVG of 2m Average Daily Temperature (F)
Jun 2016,30 (100%),79.3
Jul 2016,31 (100%),83
Aug 2016,31 (100%),82.1
Sep 2016,30 (100%),78.2
Oct 2016,31 (100%),69.4
Nov 2016,30 (100%),58.3
Dec 2016,31 (100%),49.8
Jan 2017,31 (100%),52.7
Feb 2017,28 (100%),56
Mar 2017,31 (100%),58.1
Apr 2017,30 (100%),67.8
May 2017,31 (100%),70.3
Jun 2017,30 (100%),76.3
Jul 2017,31 (100%),80.6
Aug 2017,31 (100%),78.9
Sep 2017,30 (100%),73.8
Oct 2017,31 (100%),65.9
Nov 2017,30 (100%),56.3
Dec 2017,31 (100%),45.1
Jan 2018,31 (100%),41.3
Feb 2018,28 (100%),57.7
Mar 2018,31 (100%),55.3
Apr 2018,30 (100%),59.6
May 2018,31 (100%),74.6
Jun 2018,30 (100%),79.4
Jul 2018,30 (96.8%),80.2
Aug 2018,31 (100%),80.2
Feb 2019,28 (100%)
Mar 2019,31 (100%),59.7
Apr 2019,30 (100%),62.1
May 2019,31 (100%),74
Jun 2019,30 (100%),78.2
Jul 2019,31 (100%),80.3
Aug 2019,31 (100%),80.6
Sep 2019,30 (100%),79.6
Oct 2019,31 (100%),67.4
Nov 2019,30 (100%),50.1
Dec 2019,31 (100%),51.2
Jan 2020,31 (100%),48.6
Feb 2020,29 (100%),50.5
Mar 2020,31 (100%),64.2
Apr 2020,30 (100%),61.5
May 2020,31 (100%),69
Jun 2020,24 (80%),76.4
